# 2026-08-28 21:51  commit 74a04b4  threads=6
format,state,rep,prefill_ms,decode_ms_per_token
Q4_0,cold,1,438.20,7.86
Q4_0,warm,1,50.40,7.84
Q4_0,cold,2,471.30,9.46
Q4_0,warm,2,58.20,9.74
Q4_0,cold,3,430.40,7.98
Q4_0,warm,3,53.00,8.00
Q4_0,cold,4,491.40,9.11
Q4_0,warm,4,85.40,8.06
Q4_0,cold,5,489.40,10.27
Q4_0,warm,5,53.80,8.58
Q4_0,cold,6,490.40,9.71
Q4_0,warm,6,55.70,8.68
Q4_0,cold,7,494.80,8.69
Q4_0,warm,7,62.20,10.39
Q4_0,cold,8,437.20,7.94
Q4_0,warm,8,59.30,8.08
Q4_0,cold,9,436.80,8.00
Q4_0,warm,9,52.40,8.90
Q4_0,cold,10,461.80,7.91
Q4_0,warm,10,54.90,8.38
Q8_0,cold,1,768.00,9.39
Q8_0,warm,1,65.30,9.47
Q8_0,cold,2,727.80,9.42
Q8_0,warm,2,67.00,9.61
Q8_0,cold,3,747.50,9.58
Q8_0,warm,3,66.00,9.33
Q8_0,cold,4,779.10,9.38
Q8_0,warm,4,66.80,9.49
Q8_0,cold,5,726.60,9.48
Q8_0,warm,5,65.40,9.54
Q8_0,cold,6,774.50,9.62
Q8_0,warm,6,63.80,9.44
Q8_0,cold,7,748.20,9.51
Q8_0,warm,7,64.80,9.38
Q8_0,cold,8,751.90,9.64
Q8_0,warm,8,65.60,9.77
Q8_0,cold,9,764.20,9.77
Q8_0,warm,9,63.80,9.50
Q8_0,cold,10,750.30,9.82
Q8_0,warm,10,64.10,9.37
BF16,cold,1,1451.60,16.17
BF16,warm,1,120.90,15.96
BF16,cold,2,1426.60,15.90
BF16,warm,2,120.10,15.84
BF16,cold,3,1443.20,16.27
BF16,warm,3,120.30,16.11
BF16,cold,4,1453.80,15.81
BF16,warm,4,121.30,15.81
BF16,cold,5,1523.70,16.86
BF16,warm,5,120.70,15.71
BF16,cold,6,1471.80,16.07
BF16,warm,6,121.30,15.90
BF16,cold,7,1426.30,15.90
BF16,warm,7,121.40,15.92
BF16,cold,8,1492.60,15.48
BF16,warm,8,117.00,15.32
BF16,cold,9,1444.60,15.18
BF16,warm,9,118.40,15.38
BF16,cold,10,1461.30,15.39
BF16,warm,10,116.50,15.29
