step,cache_on_ms,cache_off_ms
5,10.10,75.20
10,10.50,112.30
15,10.90,163.40
20,11.30,187.60
25,11.00,183.70
30,10.50,210.40
35,10.70,216.50
40,10.90,236.50
45,10.60,277.80
50,10.50,441.30
55,10.20,310.70
60,11.00,333.00
65,12.60,358.20
70,10.80,390.30
75,10.40,415.30
80,10.40,458.60
85,10.70,468.30
90,12.00,495.90
95,11.30,616.20
100,10.90,556.30
105,11.30,608.60
110,10.90,603.80
115,10.50,689.90
120,10.40,736.50
125,11.80,876.30
130,11.40,922.70
135,12.20,849.10
140,11.60,817.40
145,11.20,856.80
150,11.40,862.80
155,11.20,905.00
160,10.70,916.10
165,10.30,1029.50
170,10.10,1176.60
175,11.20,1031.10
180,10.70,1027.70
185,10.80,1065.90
190,10.50,1323.90
195,10.80,1052.70
200,12.40,1082.10
205,12.50,1233.50
210,12.50,1248.00
215,10.70,1180.40
220,10.40,1219.40
225,11.10,1219.30
230,10.50,1242.50
235,11.00,1276.40
240,10.30,1747.40
245,11.40,1329.30
250,11.50,1366.40
255,11.70,1375.60
260,11.70,1406.20
265,10.30,1433.00
270,11.10,1457.10
275,11.00,1494.90
280,10.70,1515.20
285,10.60,1542.00
290,10.30,1572.20
295,11.20,1592.80
300,10.50,1794.00
305,10.70,1852.10
310,10.60,1827.40
315,11.30,1770.80
320,10.70,1923.20
325,10.50,1858.30
330,12.00,1825.40
335,13.40,2465.10
340,12.20,2074.70
345,12.50,1900.90
350,12.50,1957.90
355,16.90,1956.40
360,14.80,2164.40
365,12.40,2606.60
370,11.50,2322.70
375,12.60,2180.50
380,11.50,2206.90
385,11.00,2437.20
390,11.50,2286.50
395,10.60,2674.40
