# 2026-08-29 17:43  commit 74a04b4  max=300 runs=3 threads=6 cache=off
run,step,ms
1,1,48.10
1,2,63.10
1,3,70.50
1,4,70.70
1,5,68.20
1,6,72.20
1,7,76.40
1,8,89.00
1,9,91.70
1,10,92.30
1,11,97.00
1,12,102.90
1,13,106.70
1,14,113.10
1,15,118.20
1,16,122.60
1,17,128.20
1,18,171.90
1,19,145.70
1,20,145.00
1,21,148.20
1,22,154.40
1,23,158.80
1,24,165.80
1,25,172.90
1,26,183.00
1,27,180.10
1,28,188.20
1,29,192.50
1,30,197.30
1,31,201.10
1,32,221.30
1,33,219.20
1,34,241.70
1,35,233.00
1,36,229.10
1,37,236.70
1,38,236.90
1,39,259.80
1,40,270.70
1,41,271.40
1,42,265.20
1,43,269.70
1,44,285.00
1,45,279.60
1,46,329.40
1,47,315.40
1,48,299.10
1,49,308.70
1,50,321.30
1,51,327.00
1,52,326.00
1,53,326.70
1,54,328.70
1,55,328.90
1,56,347.80
1,57,345.50
1,58,349.10
1,59,365.90
1,60,346.10
1,61,397.80
1,62,385.00
1,63,366.90
1,64,372.80
1,65,401.70
1,66,419.80
1,67,393.30
1,68,420.50
1,69,405.70
1,70,450.50
1,71,443.20
1,72,416.20
1,73,419.00
1,74,423.60
1,75,426.30
1,76,441.90
1,77,442.40
1,78,475.60
1,79,453.60
1,80,455.20
1,81,466.40
1,82,463.00
1,83,464.30
1,84,470.30
1,85,487.90
1,86,483.10
1,87,483.00
1,88,491.70
1,89,487.30
1,90,494.90
1,91,500.70
1,92,506.20
1,93,511.70
1,94,515.10
1,95,521.60
1,96,528.30
1,97,531.60
1,98,540.30
1,99,541.00
1,100,550.30
1,101,561.50
1,102,587.70
1,103,577.70
1,104,684.00
1,105,636.40
1,106,619.70
1,107,606.80
1,108,638.50
1,109,654.30
1,110,665.70
1,111,679.40
1,112,659.20
1,113,649.10
1,114,673.60
1,115,684.70
1,116,666.10
1,117,693.60
1,118,671.60
1,119,672.20
1,120,676.30
1,121,691.50
1,122,685.90
1,123,687.90
1,124,721.40
1,125,715.80
1,126,724.10
1,127,736.90
1,128,720.30
1,129,761.40
1,130,756.00
1,131,758.90
1,132,758.80
1,133,862.70
1,134,796.30
1,135,870.40
1,136,777.00
1,137,774.70
1,138,776.30
1,139,778.10
1,140,787.90
1,141,810.00
1,142,804.20
1,143,806.00
1,144,836.90
1,145,847.70
1,146,854.30
1,147,825.70
1,148,836.80
1,149,835.90
1,150,845.10
1,151,886.30
1,152,876.90
1,153,892.20
1,154,887.30
1,155,876.20
1,156,902.10
1,157,888.40
1,158,902.50
1,159,915.70
1,160,904.60
1,161,909.40
1,162,944.20
1,163,951.60
1,164,945.20
1,165,934.20
1,166,939.40
1,167,946.90
1,168,958.90
1,169,957.70
1,170,972.70
1,171,1022.40
1,172,1006.20
1,173,1033.30
1,174,1154.60
1,175,1027.90
1,176,1027.50
1,177,1005.20
1,178,1036.10
1,179,1134.40
1,180,1080.80
1,181,1031.00
1,182,1045.70
1,183,1068.40
1,184,1072.20
1,185,1123.30
1,186,1131.70
1,187,1098.30
1,188,1094.90
1,189,1087.60
1,190,1089.60
1,191,1077.10
1,192,1081.20
1,193,1112.70
1,194,1144.40
1,195,1122.20
1,196,1127.70
1,197,1125.00
1,198,1132.40
1,199,1144.50
1,200,1151.70
1,201,1184.80
1,202,1183.20
1,203,1168.90
1,204,1173.50
1,205,1183.50
1,206,1179.80
1,207,1210.40
1,208,1248.30
1,209,1318.50
1,210,1203.20
1,211,1233.90
1,212,1282.50
1,213,1240.90
1,214,1249.60
1,215,1224.20
1,216,1282.70
1,217,1331.90
1,218,1277.40
1,219,1364.30
1,220,1368.40
1,221,1347.80
1,222,1293.90
1,223,1351.60
1,224,1319.40
1,225,1385.10
1,226,1372.70
1,227,1400.40
1,228,1339.90
1,229,1438.30
1,230,1477.30
1,231,1509.00
1,232,1400.50
1,233,1375.10
1,234,1370.30
1,235,1377.10
1,236,1458.60
1,237,1650.30
1,238,1410.30
1,239,1381.90
1,240,1424.20
1,241,1454.40
1,242,1503.00
1,243,1384.10
1,244,1511.70
1,245,1474.80
1,246,1478.70
1,247,1563.10
1,248,1482.40
1,249,1545.20
1,250,1568.10
1,251,1660.40
1,252,1598.20
1,253,1507.00
1,254,1564.50
1,255,1565.90
1,256,1544.60
1,257,1590.40
1,258,1784.20
1,259,1829.90
1,260,1606.20
1,261,1642.90
1,262,1550.60
1,263,1499.90
1,264,1579.20
1,265,1659.50
1,266,1569.80
1,267,1538.40
1,268,1540.70
1,269,1657.00
1,270,1620.60
1,271,1686.40
1,272,1698.20
1,273,1622.60
1,274,1633.10
1,275,1678.00
1,276,1645.30
1,277,1772.60
1,278,1689.40
1,279,1702.60
1,280,1718.70
1,281,1736.90
1,282,1714.80
1,283,1652.90
1,284,1647.30
1,285,1707.10
1,286,1752.50
1,287,1717.10
1,288,1733.50
1,289,1735.80
1,290,1747.30
1,291,1785.50
1,292,1823.10
1,293,1802.10
1,294,1983.80
1,295,1994.40
1,296,2016.70
1,297,2190.70
1,298,2203.20
1,299,2190.10
2,1,60.20
2,2,63.30
2,3,98.50
2,4,72.10
2,5,76.00
2,6,88.50
2,7,98.20
2,8,101.50
2,9,122.80
2,10,114.00
2,11,120.50
2,12,126.90
2,13,132.80
2,14,141.50
2,15,158.40
2,16,155.30
2,17,168.50
2,18,180.40
2,19,181.20
2,20,165.00
2,21,205.70
2,22,197.00
2,23,216.60
2,24,236.90
2,25,218.70
2,26,225.80
2,27,222.50
2,28,236.60
2,29,246.60
2,30,262.40
2,31,236.70
2,32,235.40
2,33,246.40
2,34,289.40
2,35,251.90
2,36,266.90
2,37,261.40
2,38,276.10
2,39,269.80
2,40,269.60
2,41,288.40
2,42,306.50
2,43,312.60
2,44,313.80
2,45,298.80
2,46,303.40
2,47,332.50
2,48,330.50
2,49,342.70
2,50,332.00
2,51,347.40
2,52,348.90
2,53,355.90
2,54,357.70
2,55,381.90
2,56,365.40
2,57,381.70
2,58,392.00
2,59,399.90
2,60,395.10
2,61,419.50
2,62,425.20
2,63,419.60
2,64,416.80
2,65,432.60
2,66,433.40
2,67,437.30
2,68,446.90
2,69,460.60
2,70,472.50
2,71,454.50
2,72,492.50
2,73,475.10
2,74,505.00
2,75,505.00
2,76,505.30
2,77,489.00
2,78,509.10
2,79,509.30
2,80,505.80
2,81,513.40
2,82,528.40
2,83,525.20
2,84,538.10
2,85,580.10
2,86,554.00
2,87,560.00
2,88,565.80
2,89,554.50
2,90,578.70
2,91,611.20
2,92,612.30
2,93,612.10
2,94,628.10
2,95,617.80
2,96,647.80
2,97,630.70
2,98,644.20
2,99,650.80
2,100,644.70
2,101,656.90
2,102,666.50
2,103,717.90
2,104,676.00
2,105,700.20
2,106,714.50
2,107,686.40
2,108,691.70
2,109,696.20
2,110,723.80
2,111,775.90
2,112,763.60
2,113,766.20
2,114,739.40
2,115,775.90
2,116,741.00
2,117,769.90
2,118,764.30
2,119,869.20
2,120,801.40
2,121,782.20
2,122,770.90
2,123,792.30
2,124,775.20
2,125,818.20
2,126,791.40
2,127,801.70
2,128,875.50
2,129,867.70
2,130,849.20
2,131,848.20
2,132,881.50
2,133,859.30
2,134,928.70
2,135,877.80
2,136,864.10
2,137,869.60
2,138,873.90
2,139,870.20
2,140,916.80
2,141,910.70
2,142,919.30
2,143,915.20
2,144,923.00
2,145,941.50
2,146,957.30
2,147,1083.00
2,148,1092.00
2,149,941.00
2,150,975.40
2,151,980.60
2,152,990.10
2,153,947.30
2,154,957.90
2,155,966.30
2,156,997.50
2,157,970.60
2,158,984.70
2,159,1004.50
2,160,1034.30
2,161,1001.80
2,162,1008.30
2,163,1018.90
2,164,1017.60
2,165,1026.70
2,166,1042.80
2,167,1035.70
2,168,1044.80
2,169,1050.70
2,170,1064.50
2,171,1071.50
2,172,1077.10
2,173,1085.10
2,174,1134.90
2,175,1120.70
2,176,1137.70
2,177,1175.10
2,178,1139.50
2,179,1154.20
2,180,1147.60
2,181,1163.60
2,182,1163.90
2,183,1164.00
2,184,1182.50
2,185,1169.20
2,186,1184.60
2,187,1202.90
2,188,1203.90
2,189,1278.30
2,190,1281.00
2,191,1280.40
2,192,1304.90
2,193,1305.00
2,194,1253.10
2,195,1256.40
2,196,1235.50
2,197,1229.90
2,198,1275.60
2,199,1265.40
2,200,1303.90
2,201,1318.30
2,202,1318.30
2,203,1326.70
2,204,1460.60
2,205,1367.90
2,206,1424.50
2,207,1373.90
2,208,1390.90
2,209,1376.90
2,210,1391.30
2,211,1383.10
2,212,1385.50
2,213,1389.80
2,214,1402.50
2,215,1419.30
2,216,1412.40
2,217,1416.40
2,218,1439.30
2,219,1440.10
2,220,1451.60
2,221,1486.30
2,222,1499.90
2,223,1450.60
2,224,1445.30
2,225,1429.80
2,226,1454.60
2,227,1486.80
2,228,1465.60
2,229,1472.30
2,230,1562.20
2,231,1606.50
2,232,1508.50
2,233,1574.40
