# 2026-08-29 11:26  threads=6 reps=10  -ngl 99
# llama.cpp: llama.cpp 10330
Q8_0,build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
Q8_0,"687e77892","10330","Accelerate, Apple M4 Pro","Apple M4 Pro","BLAS,MTL","assets/Llama-3.2-1B-Instruct-Q8_0.gguf","llama 1B Q8_0","1313251456","1235814432","2048","512","6","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","6","0","0","2026-08-29T09:26:22Z","15956321","47473","376.029526","1.120906"
Q8_0,"687e77892","10330","Accelerate, Apple M4 Pro","Apple M4 Pro","BLAS,MTL","assets/Llama-3.2-1B-Instruct-Q8_0.gguf","llama 1B Q8_0","1313251456","1235814432","2048","512","6","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","39","0","0","2026-08-29T09:26:23Z","27420529","107316","1422.311569","5.554556"
Q8_0,"687e77892","10330","Accelerate, Apple M4 Pro","Apple M4 Pro","BLAS,MTL","assets/Llama-3.2-1B-Instruct-Q8_0.gguf","llama 1B Q8_0","1313251456","1235814432","2048","512","6","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","389","0","0","2026-08-29T09:26:23Z","156050916","1116286","2492.890640","17.789632"
Q8_0,"687e77892","10330","Accelerate, Apple M4 Pro","Apple M4 Pro","BLAS,MTL","assets/Llama-3.2-1B-Instruct-Q8_0.gguf","llama 1B Q8_0","1313251456","1235814432","2048","512","6","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","1532","0","0","2026-08-29T09:26:25Z","607077179","5930858","2523.783357","24.595532"
Q8_0,"687e77892","10330","Accelerate, Apple M4 Pro","Apple M4 Pro","BLAS,MTL","assets/Llama-3.2-1B-Instruct-Q8_0.gguf","llama 1B Q8_0","1313251456","1235814432","2048","512","6","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","4416","0","0","2026-08-29T09:26:31Z","1977105179","12922808","2233.654007","14.522982"
Q8_0,"687e77892","10330","Accelerate, Apple M4 Pro","Apple M4 Pro","BLAS,MTL","assets/Llama-3.2-1B-Instruct-Q8_0.gguf","llama 1B Q8_0","1313251456","1235814432","2048","512","6","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","0","100","0","2026-08-29T09:26:53Z","628862791","4933963","159.025899","1.232074"
Q4_0,build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
Q4_0,"687e77892","10330","Accelerate, Apple M4 Pro","Apple M4 Pro","BLAS,MTL","assets/Llama-3.2-1B-Instruct-Q4_0-pure.gguf","llama 1B Q8_0","695378048","1235814432","2048","512","6","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","6","0","0","2026-08-29T09:27:00Z","16250779","97095","369.224923","2.205264"
Q4_0,"687e77892","10330","Accelerate, Apple M4 Pro","Apple M4 Pro","BLAS,MTL","assets/Llama-3.2-1B-Instruct-Q4_0-pure.gguf","llama 1B Q8_0","695378048","1235814432","2048","512","6","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","39","0","0","2026-08-29T09:27:00Z","26306679","341169","1482.736595","19.140553"
Q4_0,"687e77892","10330","Accelerate, Apple M4 Pro","Apple M4 Pro","BLAS,MTL","assets/Llama-3.2-1B-Instruct-Q4_0-pure.gguf","llama 1B Q8_0","695378048","1235814432","2048","512","6","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","389","0","0","2026-08-29T09:27:01Z","153907783","1451092","2527.689842","23.845629"
Q4_0,"687e77892","10330","Accelerate, Apple M4 Pro","Apple M4 Pro","BLAS,MTL","assets/Llama-3.2-1B-Instruct-Q4_0-pure.gguf","llama 1B Q8_0","695378048","1235814432","2048","512","6","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","1532","0","0","2026-08-29T09:27:02Z","603115795","7048326","2540.451555","29.396167"
