# 2026-08-29 14:08  commit 74a04b4  runs=10 gen=50 threads=6 prompts=xs s m l xl
prompt,prompt_tokens,run,prefill_ms,decode_ms_per_token
xs,6,1,65.20,9.56
xs,6,2,64.40,9.22
xs,6,3,66.80,9.14
xs,6,4,63.40,9.19
xs,6,5,76.40,9.05
xs,6,6,65.80,9.16
xs,6,7,63.80,9.23
xs,6,8,64.20,9.14
xs,6,9,65.40,9.44
xs,6,10,65.80,9.27
s,39,1,256.00,9.23
s,39,2,245.70,9.51
s,39,3,241.90,9.13
s,39,4,242.90,9.26
s,39,5,275.80,9.52
s,39,6,296.00,10.52
s,39,7,256.70,9.67
s,39,8,242.30,9.52
s,39,9,248.80,9.33
s,39,10,255.60,9.68
m,389,1,2267.60,10.45
m,389,2,2192.00,10.18
m,389,3,2217.30,10.21
m,389,4,2209.10,10.46
m,389,5,2240.00,10.26
m,389,6,2250.60,10.20
m,389,7,2276.60,10.24
m,389,8,2321.30,11.48
m,389,9,2486.00,11.24
m,389,10,2484.60,11.26
l,1532,1,11462.60,13.53
l,1532,2,11261.60,14.32
l,1532,3,11245.70,15.13
l,1532,4,11453.90,14.34
l,1532,5,11354.10,14.50
l,1532,6,11400.90,14.49
l,1532,7,11205.80,14.21
l,1532,8,11531.90,14.44
l,1532,9,11356.70,14.22
l,1532,10,11249.20,13.94
xl,4416,1,43923.60,22.17
xl,4416,2,45193.70,24.17
xl,4416,3,44734.60,21.79
xl,4416,4,47633.00,22.30
xl,4416,5,50211.80,23.95
xl,4416,6,51885.90,23.02
xl,4416,7,48674.90,22.81
xl,4416,8,49449.40,23.26
xl,4416,9,48012.70,21.20
xl,4416,10,45320.60,21.58
