# 2026-08-02 14:06  commit 4331a31  runs=10 tokens=100 threads=6
build,format,run,ms_per_token
neon,Q8_0,1,9.08
neon,Q8_0,2,9.06
neon,Q8_0,3,9.10
neon,Q8_0,4,9.11
neon,Q8_0,5,8.91
neon,Q8_0,6,9.07
neon,Q8_0,7,9.02
neon,Q8_0,8,8.89
neon,Q8_0,9,9.12
neon,Q8_0,10,8.89
neon,Q4_0,1,8.56
neon,Q4_0,2,7.98
neon,Q4_0,3,8.07
neon,Q4_0,4,8.04
neon,Q4_0,5,8.08
neon,Q4_0,6,8.12
neon,Q4_0,7,8.12
neon,Q4_0,8,8.37
neon,Q4_0,9,8.34
neon,Q4_0,10,8.39
neon,BF16,1,15.93
neon,BF16,2,15.68
neon,BF16,3,15.31
neon,BF16,4,15.52
neon,BF16,5,15.71
neon,BF16,6,15.71
neon,BF16,7,16.06
neon,BF16,8,15.82
neon,BF16,9,16.03
neon,BF16,10,15.92
autovec,Q8_0,1,9.94
autovec,Q8_0,2,9.79
autovec,Q8_0,3,9.75
autovec,Q8_0,4,9.69
autovec,Q8_0,5,9.54
autovec,Q8_0,6,9.31
autovec,Q8_0,7,9.46
autovec,Q8_0,8,9.63
autovec,Q8_0,9,9.43
autovec,Q8_0,10,9.22
autovec,Q4_0,1,15.15
autovec,Q4_0,2,15.75
autovec,Q4_0,3,15.59
autovec,Q4_0,4,15.15
autovec,Q4_0,5,15.14
autovec,Q4_0,6,15.24
autovec,Q4_0,7,15.09
autovec,Q4_0,8,14.99
autovec,Q4_0,9,15.79
autovec,Q4_0,10,15.04
autovec,BF16,1,122.10
autovec,BF16,2,120.96
autovec,BF16,3,121.67
autovec,BF16,4,121.57
autovec,BF16,5,120.87
autovec,BF16,6,120.37
autovec,BF16,7,122.89
autovec,BF16,8,122.87
autovec,BF16,9,121.80
autovec,BF16,10,120.96
novec,Q8_0,1,47.10
novec,Q8_0,2,46.43
novec,Q8_0,3,46.73
novec,Q8_0,4,46.68
novec,Q8_0,5,46.79
novec,Q8_0,6,46.49
novec,Q8_0,7,45.87
novec,Q8_0,8,45.79
novec,Q8_0,9,45.57
novec,Q8_0,10,47.73
novec,Q4_0,1,42.54
novec,Q4_0,2,43.03
novec,Q4_0,3,44.31
novec,Q4_0,4,42.12
novec,Q4_0,5,42.76
novec,Q4_0,6,43.84
novec,Q4_0,7,43.25
novec,Q4_0,8,45.85
novec,Q4_0,9,48.02
novec,Q4_0,10,44.90
novec,BF16,1,159.40
novec,BF16,2,169.43
novec,BF16,3,164.92
novec,BF16,4,161.49
novec,BF16,5,155.97
novec,BF16,6,156.59
novec,BF16,7,161.29
novec,BF16,8,160.96
novec,BF16,9,153.36
novec,BF16,10,163.13
