# 2026-08-02 13:38  commit 79bbd9c  runs=10 tokens=100
format,threads,run,ms_per_token
Q8_0,1,1,24.00
Q8_0,1,2,24.37
Q8_0,1,3,24.41
Q8_0,1,4,24.60
Q8_0,1,5,25.24
Q8_0,1,6,25.15
Q8_0,1,7,24.91
Q8_0,1,8,25.79
Q8_0,1,9,25.44
Q8_0,1,10,25.57
Q8_0,2,1,13.26
Q8_0,2,2,13.56
Q8_0,2,3,13.41
Q8_0,2,4,13.39
Q8_0,2,5,13.42
Q8_0,2,6,13.62
Q8_0,2,7,13.43
Q8_0,2,8,13.59
Q8_0,2,9,13.47
Q8_0,2,10,13.90
Q8_0,3,1,11.73
Q8_0,3,2,11.22
Q8_0,3,3,11.03
Q8_0,3,4,11.01
Q8_0,3,5,11.16
Q8_0,3,6,11.08
Q8_0,3,7,10.74
Q8_0,3,8,11.15
Q8_0,3,9,11.06
Q8_0,3,10,11.01
Q8_0,4,1,10.19
Q8_0,4,2,10.02
Q8_0,4,3,10.64
Q8_0,4,4,10.05
Q8_0,4,5,10.12
Q8_0,4,6,9.60
Q8_0,4,7,10.20
Q8_0,4,8,10.31
Q8_0,4,9,10.24
Q8_0,4,10,10.14
Q8_0,5,1,9.46
Q8_0,5,2,9.47
Q8_0,5,3,9.55
Q8_0,5,4,9.61
Q8_0,5,5,9.45
Q8_0,5,6,9.45
Q8_0,5,7,9.47
Q8_0,5,8,9.45
Q8_0,5,9,9.45
Q8_0,5,10,9.48
Q8_0,6,1,8.99
Q8_0,6,2,8.98
Q8_0,6,3,9.07
Q8_0,6,4,9.03
Q8_0,6,5,9.05
Q8_0,6,6,9.01
Q8_0,6,7,9.08
Q8_0,6,8,9.02
Q8_0,6,9,9.08
Q8_0,6,10,9.11
Q8_0,7,1,9.04
Q8_0,7,2,9.02
Q8_0,7,3,9.05
Q8_0,7,4,8.99
Q8_0,7,5,9.06
Q8_0,7,6,9.09
Q8_0,7,7,9.03
Q8_0,7,8,8.99
Q8_0,7,9,9.22
Q8_0,7,10,9.26
Q8_0,8,1,10.08
Q8_0,8,2,10.07
Q8_0,8,3,10.01
Q8_0,8,4,9.96
Q8_0,8,5,10.15
Q8_0,8,6,10.44
Q8_0,8,7,10.17
Q8_0,8,8,10.13
Q8_0,8,9,10.65
Q8_0,8,10,9.96
Q8_0,9,1,11.37
Q8_0,9,2,12.19
Q8_0,9,3,11.09
Q8_0,9,4,10.71
Q8_0,9,5,10.69
Q8_0,9,6,11.09
Q8_0,9,7,10.66
Q8_0,9,8,10.95
Q8_0,9,9,10.82
Q8_0,9,10,10.93
Q8_0,10,1,10.58
Q8_0,10,2,10.73
Q8_0,10,3,10.72
Q8_0,10,4,10.57
Q8_0,10,5,10.78
Q8_0,10,6,10.66
Q8_0,10,7,10.67
Q8_0,10,8,10.52
Q8_0,10,9,10.76
Q8_0,10,10,10.74
Q8_0,11,1,11.43
Q8_0,11,2,11.20
Q8_0,11,3,11.29
Q8_0,11,4,12.13
Q8_0,11,5,11.65
Q8_0,11,6,11.83
Q8_0,11,7,11.80
Q8_0,11,8,11.12
Q8_0,11,9,11.05
Q8_0,11,10,11.12
Q8_0,12,1,11.71
Q8_0,12,2,11.92
Q8_0,12,3,11.65
Q8_0,12,4,11.65
Q8_0,12,5,11.67
Q8_0,12,6,11.66
Q8_0,12,7,11.37
Q8_0,12,8,11.29
Q8_0,12,9,11.59
Q8_0,12,10,11.83
Q4_0,1,1,28.81
Q4_0,1,2,28.82
Q4_0,1,3,28.82
Q4_0,1,4,28.78
Q4_0,1,5,29.18
Q4_0,1,6,28.78
Q4_0,1,7,28.87
Q4_0,1,8,28.81
Q4_0,1,9,28.78
Q4_0,1,10,28.91
Q4_0,2,1,15.23
Q4_0,2,2,15.11
Q4_0,2,3,15.09
Q4_0,2,4,15.11
Q4_0,2,5,15.11
Q4_0,2,6,15.08
Q4_0,2,7,15.10
Q4_0,2,8,15.10
Q4_0,2,9,15.11
Q4_0,2,10,15.10
Q4_0,3,1,11.18
Q4_0,3,2,11.26
Q4_0,3,3,11.23
Q4_0,3,4,11.19
Q4_0,3,5,11.24
Q4_0,3,6,11.20
Q4_0,3,7,11.19
Q4_0,3,8,12.34
Q4_0,3,9,11.83
Q4_0,3,10,11.56
Q4_0,4,1,9.48
Q4_0,4,2,9.46
Q4_0,4,3,9.91
Q4_0,4,4,9.54
Q4_0,4,5,9.45
Q4_0,4,6,9.45
Q4_0,4,7,9.45
Q4_0,4,8,9.44
Q4_0,4,9,9.46
Q4_0,4,10,9.45
Q4_0,5,1,8.42
Q4_0,5,2,8.62
Q4_0,5,3,8.86
Q4_0,5,4,8.47
Q4_0,5,5,8.47
Q4_0,5,6,8.75
Q4_0,5,7,8.51
Q4_0,5,8,8.49
Q4_0,5,9,8.80
Q4_0,5,10,8.78
Q4_0,6,1,7.96
Q4_0,6,2,8.26
Q4_0,6,3,8.10
Q4_0,6,4,8.76
Q4_0,6,5,8.04
Q4_0,6,6,7.98
Q4_0,6,7,7.98
Q4_0,6,8,8.11
Q4_0,6,9,7.98
Q4_0,6,10,8.03
Q4_0,7,1,8.58
Q4_0,7,2,8.38
Q4_0,7,3,9.06
Q4_0,7,4,9.21
Q4_0,7,5,8.41
Q4_0,7,6,8.32
Q4_0,7,7,7.97
Q4_0,7,8,8.05
Q4_0,7,9,9.60
Q4_0,7,10,8.04
Q4_0,8,1,8.83
Q4_0,8,2,8.91
Q4_0,8,3,9.14
Q4_0,8,4,8.92
Q4_0,8,5,8.73
Q4_0,8,6,9.04
Q4_0,8,7,8.87
Q4_0,8,8,9.22
Q4_0,8,9,9.25
Q4_0,8,10,8.63
Q4_0,9,1,8.98
Q4_0,9,2,8.78
Q4_0,9,3,8.71
Q4_0,9,4,8.65
Q4_0,9,5,8.77
Q4_0,9,6,8.62
Q4_0,9,7,8.72
Q4_0,9,8,8.71
Q4_0,9,9,8.81
Q4_0,9,10,9.14
Q4_0,10,1,8.91
Q4_0,10,2,9.31
Q4_0,10,3,9.10
Q4_0,10,4,8.75
Q4_0,10,5,9.11
Q4_0,10,6,9.38
Q4_0,10,7,9.54
Q4_0,10,8,9.00
Q4_0,10,9,9.36
Q4_0,10,10,9.39
Q4_0,11,1,9.30
Q4_0,11,2,9.75
Q4_0,11,3,9.60
Q4_0,11,4,9.58
Q4_0,11,5,10.00
Q4_0,11,6,9.02
Q4_0,11,7,9.91
